概念名,一行で言うと,発動する場面,出典,自分の体験との接点,登録日,引っかかり日記
empathy vs rational compassion（共感と理性的思いやりの区別）／共感性と自律性の補完関係,感情の同調としての共感は判断を歪めることがあり、距離を保ちながら相手のために考える理性的思いやりと、共感性を補完する自律性を同時に育てる教育設計が必要である,共感性が高い人が周囲の意見に流されている様子を見た時／自分自身が「聴く」と「信じる」を混同して判断を曇らせそうになった瞬間／子どもや生徒の共感性を伸ばす教育を考える際それだけでは足りないと感じる時／日本の教育の「相手の気持ちを考える」一辺倒への違和感を整理したい時／組織やコミュニティで同調圧力が働いている構造を分析したい時,"Paul Bloom『Against Empathy』(2016). empathy（感情の同調）よりrational compassionが倫理的判断に必要。Solomon Aschの同調実験(1951)。Mark Granovetter ""The Strength of Weak Ties""(1973)。John Stuart Mill『自由論』(1859)。Arendt『エルサレムのアイヒマン』の悪の凡庸さ。丸山眞男『日本の思想』も日本的同調主義を分析。",2026/5/27 共感性が高い人ほど周りに左右される構造への気づきから、教育設計の言語を精緻化。「共感性を否定する」のではなく「共感性に自律性を組み合わせる」教育としてCLAFTやYononakaを位置付け直し。将一郎さん自身が日本の教育を受けた共感性の高い人として、自律性を後天的に育ててきた歩みの言語化でもある。,2026/5/27,Day30
negative capability（消極的能力）／矛盾を抱えたまま生きる力,不確実さ・矛盾・疑いの中に、性急に答えや理由を求めずに留まり、なお機能し続ける能力,二つの相反する欲求や考えが自分の中に同居して苦しい時／「結局どっちが正解なのか」と性急に答えを出したくなった瞬間／矛盾を「解決すべき問題」として扱いそうになった時／速さと遅さ、衝動と丁寧さ、行動と熟成のような対立軸の間で揺れている時／ファシリテーションの場で参加者が答えのない問いに耐えられず焦っている時,John Keatsが1817年の書簡で提唱したnegative capability。F. Scott Fitzgerald『The Crack-Up』(1936)。Byung-Chul Han『時間の香り』(2009)は現代の活動過多を批判。岡本太郎『自分の中に毒を持て』(1993)は衝動への正直さ。道元の只管打坐、Wilfred Bionの臨床能力としての再評価、Roger Martin『The Opposable Mind』(2007)の統合思考も関連。,2026/5/28 速い思考の居心地よさと遅い思考の必要、行動と熟成の矛盾を、解かずに抱えられた日。岡本太郎の言葉を起点に、これまで掘ってきた概念（没頭・異化・只管打坐・少年性・Deep Work）が一点に集合。Day1で答えを求めていた自分が、答えのない問いに留まれるようになった到達点。,2026/5/28,Day31
比較から降りる言葉と身体／negative capabilityの生活実装,「○○の方がいい」という比較話法と、スマホによる無限比較から降りて、肯定だけを言葉に置き、身体を持続する時間に戻すこと,「○○の方がいい」「○○に比べて」が口をついて出そうな瞬間／何かを褒める時、他を下げる構造で褒めそうになった時／スマホで無限スクロールしている自分に気づいた時／頭の中が点の時間で埋まり持続する時間が失われていると感じた時／サウナ・散歩・読書など比較の対象が消える時間を取りたい時／子どもや生徒の良さを他の子と比較せずに語りたい時,Ferdinand de Saussure『一般言語学講義』(1916)の「意味は差異から生まれる」。Emmanuel Levinas『全体性と無限』(1961)は他者を全体性に位置付けず固有性において迎える倫理。Keatsのnegative capability、Fitzgerald。Byung-Chul Han『時間の香り』。フィンランドのhiljaisuus（沈黙・静謐）。岡本太郎『自分の中に毒を持て』、道元『正法眼蔵』の「自己をならふ」も近い境地。,2026/5/29 31日間の最終日。サウナという身体実装と、「○○の方がいい」をやめるという言葉の実装、両方が「比較から降りる」一つの動きとして到達した日。これまでの蓄積の集大成。Day1で言語化を求めていた自分が、言語化の倫理を選ぶ自分に変わった、最も深い変化。,2026/5/29,Day32
予定不調和の心地よさ／durée（真の時間）を生きる,予測可能な未来は真の創造を生まない、自分で選んだ緩い枠の中で予定不調和を歓迎することが、没頭とサプライズとan experienceを生む,予定をびっしり埋めた一日が終わった後、達成感はあっても没頭の感覚がなかった時／逆に予定なしで過ごした一日が散漫に終わった時（完全自由もフローを生まない）／サプライズを設計しようとして、設計してる時点でサプライズじゃないと気づいた時／家族・スクール生・参加者に忘れられない体験を提供したい時,Henri Bergson「創造的進化」(1907) のdurée（真の時間）概念。John Dewey「Art as Experience」(1934)のan experience。Csikszentmihalyiのフロー研究は「明確な目標・即時のフィードバック・挑戦と能力のバランス」がフロー条件。Tania Luna「Surprise」(2015)はサプライズ心理学で贈る側の没頭がサプライズの真の源泉と整理。岡本太郎「今日の芸術」(1954)。,2026/5/30 31日完走後の新たな一周目で予定不調和の心地よさをテーマに置く。アプリ仕様書とデータ整備と生き方としての予定不調和の同居を象徴する日。自分が予定不調和を生きること自体が周囲へのサプライズになるという視点を獲得。,2026/5/30,Day33
二階建ての選択／decision fatigueを踏まえた自律の運用設計,自律とは全部自分で選ぶことではなく、何を自分で選び何を自動化・委任・AIに任せるかを自分で決める、二階建ての選択である,全部自分で決めなければと感じて疲弊している時／逆に全部誰かに任せたいと判断停止しそうになる時／自分の選択能力が午後になると鈍ると感じる時／子どもや生徒に自由に選んでいいよと言って、相手が困っているのを見た時／3つの選択ギャップ（選びたいけど選べない／選びたくないのに選ばされる／いきなり選べと言われて困る）が誰かを苦しめている瞬間,Roy Baumeister「Willpower」(2011) のdecision fatigue研究。Isaiah Berlin「Two Concepts of Liberty」(1958) のpositive liberty/negative libertyの区別。Edward Deci & Richard Ryan のSelf-Determination Theory。Barry Schwartz「The Paradox of Choice」(2004) のmaximizer vs satisficer区別と選択肢過多の罠。Cal Newport「Slow Productivity」(2024)。,2026/5/31 自律論が運用設計レベルに到達。Day20で立てた事業ミッションが、抽象論から実用的な二階建ての選択論に翻訳された。CLAFTやYononakaで自律を伝える時の言語が一段精緻化された。3つの選択ギャップは子育て・教育・キャリア相談の診断ツールとして使える。,2026/5/31,Day34
cross-pressures（複数方向の圧力）／揺れは健全さの証,現代人は単一の価値観を生きるのではなく複数の価値観の間で常に引っ張られており、その揺れに気づける能力こそが本物の選択をしている証拠である,自分の信念に基づく行動をしているのに、ふと社会の常識と比較してハッとする時／自分は間違ってるんじゃないかと他者の価値観に揺れそうになった瞬間／逆に絶対に自分が正しいと一切揺れない自分に気づいた時（無自覚に閉じこもっている可能性）／揺れること自体を弱さだと感じて自己否定しそうになった瞬間,Charles Taylor「A Secular Age」(2007) のcross-pressures概念。Carl Rogers「On Becoming a Person」(1961) のunconditional positive regard。William Perryの認識論的発達でRelativism with Commitment段階。Peter Drucker「現代の経営」(1954) 企業の目的は顧客の創造、利益は目的ではなく条件。,2026/6/1 自分の事業選択（お金より子どもへの寄り添い）と社会的常識の間で揺れることへの違和感を整理。揺れは弱さではなく両方を真剣に受け止めてる証拠であり、ハッとする能力そのものが事業の質を守る防衛装置として機能している。,2026/6/1,Day35
保存層と伝達層の分離／図式化は簡素化ではない,思考の保存層は複雑なまま保ち、伝達層は相手の認知容量に応じて段階的に開く、この二層構造を意識的に運用することで複雑性愛好と伝達責任が両立する,他者から行動不足・結果が出ていないなど、自分の脳内が見えていないことに由来する評価を受けた時／複雑な構想をもっとシンプルに言ってと求められて、本質が失われそうになる瞬間／AIに自分の脳内を渡して言語化を介助してもらう時,Edward Tufte「The Visual Display of Quantitative Information」(1983). 情報デザインの古典。Donella Meadows「Thinking in Systems」(2008) はシステム図でストック&フローとフィードバックループを描く方法論。Marshall Rosenberg「Nonviolent Communication」(2003) の観察/解釈/感情/ニーズ分離法。Andy Clark「Supersizing the Mind」(2008) のextended mind thesis。川喜田二郎「発想法」(1967) のKJ法。,2026/6/3 他者から行動不足を指摘されたことに対し、感情的応答ではなく構造的応答（脳内の可視化）を選んだ日。AI協働の往復スタイルが、保存層と伝達層を分ける運用の実装になっていることを自覚。,2026/6/3,Day36
sensemaking（センスメイキング）／Early Adopterの翻訳者役割,人は自分が何を考えているかを話してみるまで知らない、伝えることが思考を明晰化する装置であり、変化の早い人は届かなさを翻訳の仕事として引き受ける,自分の考えが近い人に届かないと感じた時、変化のスピードのズレと翻訳の必要として再解釈したい時／一人で考えていて煮詰まった時、伝えてみるを思考の深化装置として使いたい瞬間／思考の共有相手と感情の共有相手を別の人にしていいと自分に許可したい時／7-8割伝わったことを成功として受け止め直したい時,Karl Weick「Sensemaking in Organizations」(1995). Everett Rogers「Diffusion of Innovations」(1962) のイノベーション普及曲線（Innovators 2.5% / Early Adopters 13.5% / Early Majority 34% / Late Majority 34% / Laggards 16%）。Geoffrey Moore「Crossing the Chasm」(1991)。Marshall McLuhanのコミュニケーション論。Salvador Minuchinの構造的家族療法。,2026/6/4 一番近い人に伝えて7-8割しか届かなかった経験から、変化のスピードのズレと翻訳の必要を構造的に理解。届かなさを失敗ではなく成功として、Early Adopterの翻訳者役割として位置付け直した。,2026/6/4,Day37
教育者は環境設計の中で最も変容する／意思決定の身体的マーカー,教育的環境を設計する者は、その環境の中で最も深く変容し、感情（身体的マーカー）が選択肢を絞り込んだ後に論理が最終確認するという意思決定構造を自分のものにできる,自分が設計した場や習慣が、自分自身をどう変えてきたかを振り返る時／メリット・デメリットの分析だけで決められない判断に直面した時／心で決めるを主観的・弱い基準だと自己評価しそうになった瞬間／逆に心で決めるが衝動的判断に滑りそうになった時／Yononakaやスクールが参加者をどう変えているかを言語化したい時,"John Dewey「Experience and Education」(1938). Bernard Williams「Moral Luck」(1981)のthick/thin concepts区別。Antonio Damasio「Descartes Error」(1994)のsomatic marker hypothesis。Tasha Eurich「Insight」(2017) の自己認識力研究。Daniel Kahneman「Thinking, Fast and Slow」(2011)のSystem1/2。日本では大村はま、林竹二、河合隼雄など。",2026/6/5 Yononakaワーク後の自覚。4年間「正解不正解なし、感じたまま共有」の場を設計してきたことで、自分自身の意思決定基準がメリット/デメリットから心の動きに書き換わった。Damasioのsomatic markerが意識的に使えるレベルに到達。,2026/6/5,Day38
ケイパビリティ・アプローチ,豊かさをモノや所得ではなく「価値ある生き方を選んで実現できる能力」で測る考え方。,物質的豊かさで人や社会を評価しそうになったとき／「楽しそうだから問題ない」で止まりそうなとき、選択肢の有無を別軸で確認する。,Amartya Sen『Development as Freedom』1999、『不平等の再検討』1992,虹の学校の子らは「いまを味わう力」では豊かだが、「移動・国籍の自由」というケイパビリティは奪われている。豊かさの二層を分けて見る視点をもらった。,2026/6/5,Day39
autotelic personality（自己目的的パーソナリティ）,外的報酬がなくても、置かれた環境そのものを意味と楽しさの源泉に変えられる人の性質。,「環境が整ってないからできない」と感じたとき／子どもや自分の「おもしろがる力」を設計・観察したいとき。,Mihály Csíkszentmihályi『フロー体験 喜びの現象学』1990,パソコンがなくても紙に絵を描いて自分を表現する子らの姿が、autotelicそのもの。「おもしろがるってのがキー」という自分の言葉の学術的な裏づけ。,2026/6/5,Day39
satisficing（満足化）,最適解ではなく「これで十分」という基準で意思決定する、限られた人間にとって現実的かつ知的な態度。,完璧なバランスや最適解を求めて消耗しそうなとき／「もっと良くできたはず」という気持ち残りが出たとき。,Herbert Simon『Administrative Behavior』1947（ノーベル経済学賞1978）,つけ麺の並か大盛かに最適解はなく、食べるまでわからない。「並でうまかった、それで十分」が実は知的に正しい。「まあこういうもんやな」という自分の割り切りの学術的裏づけ。,2026/6/6,Day40
maximizer vs satisficer,常に最善を求める人(maximizer)は客観的にはいい選択をするが、後悔から逃れられず主観的には不幸になりやすい。,完璧主義の「危険なにおい」を感じたとき／選択後の後悔・気持ち残りが習慣化しそうなとき。,Barry Schwartz『The Paradox of Choice』2004,「完璧主義は危険なにおいがする」という自分の嗅覚は、maximizerの不幸を指摘したこの研究と一致。satisficer側に意識的に立つことを選びたい。,2026/6/6,Day40
identified regulation（同一化的調整）,外から来た目的を「自分の価値」として取り込んだ動機。外発的動機の中で最も内発に近く、質が高い。,「誰かのため」「義務感」で動いている自分を、押し付けか自分の価値かを見分けたいとき。,Edward Deci & Richard Ryan『Self-Determination Theory』2017（原型1985）,「家族のため」が義務でなく自分の価値そのものなら、好奇心（内発）と対立せず地続き。だから「両方高める設計」が原理的に可能だと分かった。,2026/6/6,Day41
otherish giver,自分の関心と他者貢献を両立させる与え手。自己犠牲的な与え手(selfless)は燃え尽きるが、otherishは最も成功する。,「誰かのため」に振り切って自分のエンジン（好奇心・関心）が枯れそうなとき。,Adam Grant『Give and Take』2013,「家族のため」だけに振り切ると好奇心が枯れ、好奇心だけだと意味の重しが効かない。両基点火（otherish）こそ「2つが交わって両方高まる」設計の正解ルート。,2026/6/6,Day41
pivot（ピボット）／build-measure-learn,完璧な計画より先に動き、反応から学び、軸足を保ったままやり方を変えていく反復的な進め方。,計画通りに進まず方針転換するとき／「整わない・安定しない」と感じるが前に進んでいるとき。,Eric Ries『The Lean Startup』2011,「リアクションが違ってやり方を変える」はpivotそのもの。軸足（core）が地についているからこそ片足を自由に振れる。整わなさは不健全ではなく学習のループの中にいる証拠。,2026/6/7,Day42
動的平衡,生命は固定した安定ではなく、絶えず分解と合成を繰り返す流れの中でかろうじて形を保っている。,「安定しない・整わない」ことを不安に感じたとき／停滞と変化の違いを見極めたいとき。,福岡伸一『生物と無生物のあいだ』2007、『動的平衡』2009,整っていないことが不健全なのではなく、流れ続けることでしか安定できないのが生命。今の自分の状態は停滞でも混乱でもなく動的平衡だと捉え直せた。,2026/6/7,Day42
aspiration level（要求水準）,「これ以上なら満足」という線を事前に引いておき、出力がそれを超えたか否かで採否を判断する基準点。,達成/未達がわからず判断が宙吊りになるとき／際限なくハードルが上がってsatisficeできないとき。,Herbert Simon『Administrative Behavior』1947,「基準点の上下で判断したい」という自分の欲求そのもの。満足化は要求水準を先に決めて初めて作動する。基準の不在が行動の停止を生んでいた。,2026/6/9,Day43
フィードバック分析（期待の事前記録）,決定時に「期待する結果」を先に書き留め、一定期間後に実際と照合して自分の基準と実力を知る方法。,判断の瞬間に基準を作れず迷うとき／自分の意思決定の精度を後から検証したいとき。,Peter Drucker『プロフェッショナルの条件』／cf. フランクリン十三徳,先人は判断時に基準を作らず、冷静なときに先に書いて固定し、判断時は「照合するだけ」にしていた。基準設定の難しさへの歴史的な処方箋。,2026/6/9,Day43
報酬予測誤差（reward prediction error）,ドーパミンは報酬そのものより「予測と現実のズレ」に反応し、報酬を得た瞬間より「来るかも」と予測した瞬間に最も強く出る。,結果が出る前なのに感情が大きく動くとき／「予想するだけで楽しい/苦しい」のはなぜかを理解したいとき。,"Wolfram Schultz, 'A Neural Substrate of Prediction and Reward', Science 1997",IPO抽選で「まだ見ぬ金曜日にワクワク」している正体。当選や値上がりという結果ではなく、予測している時間そのものが脳の報酬になっている。,2026/6/9,Day44
制御幻想（illusion of control）,偶然に左右される事象でも、自分が関与すると主観的にコントロールできていると感じてしまう認知の傾向。,運の要素が大きいのに「自分の采配次第」と感じるとき／関与することで楽しさや当事者感が増すとき。,"Ellen Langer, 'The Illusion of Control', JPSP 1975",抽選は完全に運なのに「タイミングを見計らう」「いつ売り抜くか」という関与が、采配している感覚を生み、ただ待つより能動的な楽しさにしている。,2026/6/9,Day44
view from above（俯瞰からの眺め）,動揺や怒りに襲われたとき、意識を宇宙的・永遠的なスケールまで引き上げ、自分の悩みを相対的に小さく見ることで平静を取り戻すストア派の技法。,喧嘩・イライラ・焦りで視野が狭くなったとき／目の前の出来事に飲み込まれそうなとき。,マルクス・アウレリウス『自省録』（2世紀）,「壮大な時間・空間を描けばいい」という自分の箴言は、ストア派のview from aboveとほぼ一致。自力でこの技法にたどり着いた。,2026/6/10,Day45
self-distancing（自己距離化）,感情に飲まれたとき「壁の上のハエ」のように距離を取った視点から自分を眺めると、感情の強度が下がり思考が明晰になる。,怒りや反芻がループしているとき／一人称の感情に没入して抜けられないとき。,Ethan Kross & Özlem Ayduk（2011〜の一連の研究）,「壮大な時空を描く」のは、self-distancingの空間版・時間版。実験で効果が確認されている技法に直感でたどり着いていた。,2026/6/10,Day45
エネルゲイア vs キーネーシス,目的が活動そのものに内在し今ここで完結する活動（エネルゲイア）と、目的が外の未来にあり達成したら終わる手段的活動（キーネーシス）の区別。,「これは何のためにやっているのか」を問うとき／没入の実感と、よりよく生きる設計が衝突するとき。,アリストテレス『形而上学』第9巻,ルーティン（よりよく生きるため＝キーネーシス）を、衝動（やること自体が目的＝エネルゲイア）が突き破る。「生きてる実感」が湧くのはエネルゲイアの側。二つの「生きる」の中身の違いの正体。,2026/6/11,Day46
natality（誕生性）／労働・仕事・活動,予測できない新しいことを始める瞬間（活動＝action）にこそ人間性が宿るというアーレントの考え。新しさの到来が「生きる実感」を生む。,新しい景色・初めての試みに突き動かされたとき／衝動を単なる逸脱と片付けず意味を見たいとき。,ハンナ・アーレント『人間の条件』1958,Fableで「今までにない景色」を見てルーティンを蹴ってでもやりたくなったのは、単なる衝動でなくnatality（新しさの誕生）かもしれない。だから生きる実感が宿る。,2026/6/11,Day46
スポットライト効果,人は他人が自分のことを実際よりずっと注目し覚えていると過大評価する認知の偏り。,「あの人、自分をこう思ってるのでは」と他者の評価が気になって動けないとき。,Thomas Gilovich & Kenneth Savitsky（2000）,自分が相手の評価を気にしているほど、相手はこちらを考えていないのが現実。他者の視線で行動が縛られそうなときの解毒剤。,2026/6/12,Day47
課題の分離,他者が自分をどう思うかは「他者の課題」でコントロール不能、自分がどう行動するかが「自分の課題」。混ぜると動けなくなる。,他者の評価への不安が自分の行動を止めているとき／何が自分の責任範囲かを見極めたいとき。,"アルフレッド・アドラー（cf.『嫌われる勇気』岸見一郎・古賀史健, 2013）",「結局は自分の思ったことを行動に移せるか」という自分の着地は、課題の分離そのもの。他者の評価（他者の課題）と自分の行動（自分の課題）を分ける。,2026/6/12,Day47
コンストラクショニズム（構築主義）,人は何かを作る過程でこそ最も深く学ぶ。頭で理解してから作るのではなく、作りながら理解が立ち上がる。,新しいツールや概念を「触りながら覚える」とき／学びの設計で、座学より制作を先に置きたいとき。,シーモア・パパート『マインドストーム』1980,AIを触りながら学び、ゲームや成長日記アプリを作る中で習得している自分の姿そのもの。MITでLOGOを作ったパパートは、キープオンラーニング（ロボットプログラミング教育）の思想的先祖でもある。,2026/6/13,Day48
0→1は人間／1→NはAI（生成AIの役割分担）,生成AIは既存データから1→Nを生成するのが本質で、まだ存在しない問いを立てる真の0→1は人間が担う領域。0が尖るほど1→Nが活きる。,AIに何を任せ何を自分が担うかを設計するとき／創造プロジェクトの種をどこに置くか考えるとき。,（自分の好奇心駆動キャリア理論の左右軸＋生成AIの生成原理）,「0→1は人間が担いたい」「AIなしに形にできない領域ほど醍醐味」という実感。これは「AIにはできない（事実）」より「自分が手放したくない（価値選択）」として握るほうが、AIの性能に左右されず強い。,2026/6/13,Day48
フローは必ずしも善ではない（複雑性の基準）,フローの条件はギャンブルやSNSも満たす。自己を成長・複雑化させるフローと、自己を消費させるフローがあり、後者は中毒に使われる。,没入しているが、それが良い没入か「吸われている」だけかを見分けたいとき。,M.チクセントミハイ『フロー体験』1990／『フロー体験とグッドビジネス』2003,AIコーディング（自己が複雑化する）とSNS（複雑化しない）の後味の違いの正体。提唱者本人がフローの危うさを警告していた。,2026/6/14,Day49
autotelic vs exotelic（主導権の所在）,活動自体が目的(autotelic)なら自分が時間の主人で意味が残る。目的が外にある消費(exotelic)は活動に従属させられ「吸われた」感が残る。,同じ没入でも意味を生むものと時間を奪うものを区別したいとき／SNS等の変動報酬に点火させられていないか点検するとき。,M.チクセントミハイのフロー理論（autotelic概念）／cf. 変動報酬・アテンションエコノミー批判,コーディングは自分が点火するフロー、SNSは設計者が点火するフロー。意味とは「自分がその時間の主人であった」という事後の手応え。点火スイッチが自分側か向こう側か。,2026/6/14,Day49
集中戦略（Focus Strategy）,特定セグメントに絞って深くサーブすることで競争優位を築く戦略。中途半端（stuck in the middle）が最も危ない。,広いネットワーク型の組織に違和感を覚えたとき／自分の事業の範囲と深さを設計するとき。,Michael Porter『競争の戦略』1980,みせるばやおの広いネットワーク型と、自分の「狭くても深く刺さる」志向の違い。ポーターの集中戦略は、自分のスタイルの学術的な名前。,2026/6/16,Day50
弱い紐帯の強さ,新しい情報や機会は親しい友人(強い紐帯)より、たまにしか会わない知人(弱い紐帯)からもたらされる。,「1人が居心地いい」と閉じかけたとき／新しい顧客・機会がどこから来るかを考えるとき。,Mark Granovetter 'The Strength of Weak Ties' 1973,強い紐帯(気の知れた仲間)だけだと新しい情報が入らない。みせるばやおの場を「保留」にするなら、弱い紐帯を別の手段で確保する設計が要る。,2026/6/16,Day50
アブダクション（仮説的推論）,予測が外れた驚きから「なぜ？」と問い、新しい仮説を生み出す第三の推論形式。演繹でも帰納でもなく、驚きこそが知の出発点。,予測が外れたとき／「なぜこうなった？」から新しいアイデアが生まれる瞬間／引っかかり日記に書くべきエントリを感知するとき。,Charles Sanders Peirce（1903年ハーバード講義ほか）,「予測できないことが起こった時、それは今後のアイデアにつながる」という直感そのもの。引っかかり日記の本質は「驚きから仮説を生む」abductionの反復実践装置。,2026/6/18,Day51
反脆弱性（antifragility）,ストレス・変動・予測不可能な出来事によって壊れるのではなく、むしろ強くなる・成長するシステムの性質。頑健（robust）の先にある概念。,予測不可能な出来事を「リスク」ではなく「成長の燃料」として捉えたいとき／変動や混乱の多い状態を肯定的に設計するとき。,Nassim Nicholas Taleb『Antifragile: Things That Gain from Disorder』2012,予測できないことで世界が面白くなるという実感そのものが反脆弱的な生き方。息子の発熱→病院→愛おしさ→かけがえのなさ、という経験が壊すのではなく豊かにしている。引っかかり日記自体が反脆弱システム：予測不可能な入力が来るほど蓄積が豊かになる。,2026/6/18,Day51
co-rumination（共反芻）,友人同士で問題や不満を繰り返し語り合う行為。関係の親密さは上がるが、抑うつ・不安も同時に上がるという二重の効果を持つ。,友人や同僚との会話が「嘆きの共有」になっているとき／共感と消耗の境目を判断したいとき。,"Amanda Rose, 'Co-Rumination in the Friendships of Girls and Boys', Child Development, 2002",友達の自虐的な嘆きに「プラスにならない」と感じた直感の裏づけ。接着剤として機能する一方で心理的コストがある。自分がこの回路を使わないのは、別の接着剤（対話・共創）を持っているから。,2026/6/19,Day52
phatic communion（交感的言語使用）,情報伝達ではなく「私たちは同じ場にいる」という関係確認のために使われる言語行為。天気の話、挨拶、自虐ネタなど。,相手の発言を文字通り受け取るか、場の共有の合図として受け取るかを判断するとき。,"Bronisław Malinowski, 'The Problem of Meaning in Primitive Languages', 1923",「32歳なんて嬉しない！」は文字通りの主張ではなく、場を共有するための交感的発話。内容ではなく機能で言語を読み分ける視点。,2026/6/19,Day52
